Index,P,T,D,density,viscosity
1,0.1,289.15,1.63,55450,1.1081
2,0.1,289.55,1.57,55446,1.0966
3,0.1,293.55,1.85,55404,0.99186
4,0.1,279.35,0.891,55505,1.4624
5,0.1,283.35,1.44,55491,1.2984
6,0.1,288.15,1.4,55459,1.1376
7,0.1,288.35,1.58,55457,1.1316
8,0.1,291.35,1.71,55429,1.0474
9,0.1,289.15,1.6,55450,1.1081
10,0.1,273.15,0.96,55500,1.7911
11,0.1,289.15,1.57,55450,1.1081
12,0.1,290.65,1.56,55436,1.0661
13,0.1,298.15,1.74,55345,0.89002
14,0.1,303.15,1.75,55267,0.79722
15,0.1,298.15,1.82,55345,0.89002
16,0.1,303.15,2.06,55267,0.79722
17,0.1,313.15,2.75,55076,0.65273
18,0.1,323.15,3.24,54844,0.54652
19,0.1,303.15,2.29,55267,0.79722
20,0.1,296.15,2.35,55372,0.93213
21,0.1,298.15,1.87,55345,0.89002
22,0.1,302.15,2.71,55283,0.81449
23,0.1,310.15,3.13,55138,0.6913
24,0.1,283.15,1.17,55492,1.3059
25,0.1,283.15,1.28,55492,1.3059
26,0.1,288.15,1.37,55459,1.1376
27,0.1,293.15,1.63,55409,1.0016
28,0.1,298.15,1.91,55345,0.89002
29,0.1,303.15,2.25,55267,0.79722
30,0.1,279.65,1.08,55504,1.449
31,0.1,283.35,1.3,55491,1.2984
32,0.1,288.95,1.49,55452,1.1139
33,0.1,293.15,1.69,55409,1.0016
34,0.1,297.95,1.94,55347,0.89409
35,0.1,308.15,2.26,55177,0.71913
36,0.1,293.15,1.77,55409,1.0016
37,0.1,298.15,1.9,55345,0.89002
38,0.1,293.15,1.6,55409,1.0016
39,0.1,298.15,1.9,55345,0.89002
40,0.1,298.15,1.92,55345,0.89002
41,0.1,303.15,2.15,55267,0.79722
42,0.1,298.15,1.85,55345,0.89002
43,0.1,308.15,2.18,55177,0.71913
44,0.1,325.15,3.61,54793,0.52866
45,0.1,338.15,4.3,54429,0.4329
46,0.1,298.03,1.86,55346,0.89246
47,0.1,302.92,2.1,55271,0.80114
48,0.1,283.47,1.5,55490,1.294
49,0.1,288.84,1.65,55453,1.1171
50,0.1,293.67,1.84,55403,0.98897
51,0.1,282.98,1.25,55493,1.3123
52,0.1,290.5,1.5,55437,1.0702
53,0.1,297.72,1.79,55351,0.89881
54,0.1,303.15,2.18,55267,0.79722
55,0.1,303.15,2.3,55267,0.79722
56,0.1,283.15,1.17,55492,1.3059
57,0.1,288.15,1.39,55459,1.1376
58,0.1,293.15,1.62,55409,1.0016
59,0.1,298.15,1.9,55345,0.89002
60,0.1,303.15,2.25,55267,0.79722
61,0.1,298.15,1.87,55345,0.89002
62,0.1,293.15,1.69,55409,1.0016
63,0.1,292.65,1.7,55415,1.014
64,0.1,279.35,1.08,55505,1.4624
65,0.1,283.35,1.3,55491,1.2984
66,0.1,288.95,1.49,55452,1.1139
67,0.1,293.15,1.69,55409,1.0016
68,0.1,297.95,1.94,55347,0.89409
69,0.1,303.15,2.26,55267,0.79722
70,0.1,293.15,1.77,55409,1.0016
71,0.1,298.15,1.95,55345,0.89002
72,0.1,303.15,2.15,55267,0.79722
73,0.1,293.15,1.63,55409,1.0016
74,0.1,298.15,2,55345,0.89002
75,0.1,279.65,1.145,55504,1.449
76,0.1,298.15,1.85,55345,0.89002
77,0.1,308.15,2.179,55177,0.71913
78,0.1,325.15,3.613,54793,0.52866
79,0.1,338.15,4.296,54429,0.4329
80,0.1,298.15,1.909,55345,0.89002
81,0.1,298.15,1.921,55345,0.89002
82,0.1,298.15,1.921,55345,0.89002
83,0.1,298.15,1.918,55345,0.89002
84,0.1,298.15,1.907,55345,0.89002
85,0.1,298.15,1.937,55345,0.89002
86,0.1,298.15,1.916,55345,0.89002
87,0.1,298.15,1.919,55345,0.89002
88,0.1,298.15,1.906,55345,0.89002
89,0.1,298.15,1.912,55345,0.89002
90,0.1,298.15,1.897,55345,0.89002
91,0.1,298.15,1.9,55345,0.89002
92,0.1,298.15,1.861,55345,0.89002
93,0.1,298.15,1.89,55345,0.89002
94,0.1,298.15,1.928,55345,0.89002
95,0.1,291.65,1.65,55425,1.0395
96,0.1,298.15,1.95,55345,0.89002
97,0.1,307.85,2.41,55183,0.72346
98,0.1,318.35,3.03,54961,0.59366
99,0.1,328.05,3.68,54717,0.50443
100,0.1,338.15,4.4,54429,0.4329
101,0.1,348.25,5.4,54109,0.37692
102,0.1,291.15,1.71,55431,1.0527
103,0.1,298.15,1.92,55345,0.89002
104,0.1,313.15,2.81,55076,0.65273
105,0.1,333.15,4.15,54576,0.46603
106,0.1,298.15,1.98,55345,0.89002
107,0.1,313.15,2.8,55076,0.65273
108,0.1,298.15,1.99,55345,0.89002
109,0.1,273.15,1,55500,1.7911
110,0.1,278,1.16,55507,1.5254
111,0.1,283,1.32,55493,1.3116
112,0.1,288,1.52,55460,1.1421
113,0.1,293,1.74,55411,1.0053
114,0.1,298.15,1.85,55345,0.89002
115,0.1,303,2.19,55269,0.79977
116,0.1,308,2.41,55180,0.72129
117,0.1,290,1.47,55442,1.084
118,0.1,293.15,1.69,55409,1.0016
119,0.1,293.15,1.73,55409,1.0016
120,0.1,293.15,1.68,55409,1.0016
121,0.1,298.15,1.88,55345,0.89002
122,0.1,298.15,1.81,55345,0.89002
123,0.1,278.15,1.07,55507,1.5182
124,0.1,288.15,1.45,55459,1.1376
125,0.1,298.15,1.91,55345,0.89002
126,0.1,308.15,2.43,55177,0.71913
127,0.1,298.15,1.32,55345,0.89002
128,0.1,298.15,1.32,55345,0.89002
129,0.1,298.15,1.36,55345,0.89002
130,0.1,298.15,1.64,55345,0.89002
131,0.1,298.15,1.96,55345,0.89002
132,0.1,298.15,1.94,55345,0.89002
133,0.1,298.15,1.93,55345,0.89002
134,0.1,298.15,1.92,55345,0.89002
135,0.1,298.15,1.92,55345,0.89002
136,0.1,291.15,1.61,55431,1.0527
137,0.1,297.65,1.9,55352,0.90026
138,0.1,293,1.76,55411,1.0053
139,0.1,298.15,1.94,55345,0.89002
140,0.1,303,2.2,55269,0.79977
141,0.1,313,2.93,55080,0.65457
142,0.1,333,4.38,54580,0.46709
143,0.1,353,6.58,53948,0.35471
144,0.1,368,8.2,53399,0.29757
145,0.1,298.15,1.97,55345,0.89002
146,0.1,308,2.49,55180,0.72129
147,0.1,318,3.07,54969,0.59736
148,0.1,328,3.67,54718,0.50483
149,29.4,286,1.266,56218,1.1886
150,39.2,286,1.407,56457,1.1844
152,8,303.15,3.2,55461,0.79714
153,9,303.15,2.6,55485,0.79714
154,10,303.15,2.4,55509,0.79714
155,11,303.15,2.1,55534,0.79714
156,9,286.15,1.9,55705,1.1948
157,10,286.15,1.8,55730,1.1942
158,11,286.15,1.9,55756,1.1936
166,4,303.15,1.2,55363,0.79716
167,8,303.15,3.2,55461,0.79714
168,20,303.15,1.4,55749,0.7973
169,40,303.15,1.3,56214,0.79834
170,0.772,298.15,2.05,55361,0.88993
171,1.173,298.15,2.75,55371,0.88988
172,2.01,298.15,2.05,55392,0.88976
173,10,393.15,8.12,52619,0.23461
174,20,268.15,0.76,56049,1.7507
175,20,273.15,0.91,56049,1.7507
176,20,278.15,1.12,56038,1.4924
177,20,298.15,1.91,55833,0.88791
178,20,313.15,2.65,55551,0.65547
179,20,323.15,3.21,55316,0.55064
180,20,353.15,5.3,54426,0.35938
181,20,373.15,6.43,53701,0.28691
182,20,393.15,8.13,52884,0.23721
183,20,433.15,11.3,50988,0.17524
184,20,433.15,11.77,50988,0.17524
185,20,473.15,16.1,48735,0.13913
186,30,313.15,2.42,55782,0.65705
187,30,353.15,5.44,54660,0.36205
188,30,393.15,7.89,53141,0.23977
189,40,393.15,7.8,53391,0.24231
190,14,298,2.233,55690,0.8914
191,31.6,298,2.256,56111,0.89023
192,47.7,298,2.218,56482,0.89005
193,14.2,323,3.643,55184,0.55078
194,31.8,323,3.718,55590,0.55457
195,48.6,323,3.938,55964,0.55839
196,14.9,348,5.391,54476,0.38208
197,31.8,348,5.306,54870,0.38655
198,49.3,348,5.366,55263,0.3912
199,14.9,373,7.416,53580,0.286
200,31,373,7.521,53974,0.29027
201,48.5,373,7.681,54384,0.29485
202,14.3,398,9.949,52520,0.22605
203,30.9,398,10.06,52957,0.23028
204,48,398,10.17,53386,0.23456
205,14.3,423,12.33,51334,0.18629
206,48,423,12.21,52282,0.19444
